,date,datatype,station,attributes,value
0,2019-09-16T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.07
1,2019-09-18T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.02
2,2019-09-27T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.03
3,2019-10-17T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.01
4,2019-11-14T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.01
5,2019-11-27T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",1.07
6,2019-11-28T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.18
7,2019-12-02T00:00:00,DAPR,GHCND:US1CASF0017,",,N,",4.0
8,2019-12-02T00:00:00,MDPR,GHCND:US1CASF0017,",,N,",0.57
9,2019-12-03T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.2
10,2019-12-04T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.23
11,2019-12-05T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.03
12,2019-12-06T00:00:00,PRCP,GHCND:US1CASF0017,"T,,N,",0.0
13,2019-12-07T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.46
14,2019-12-08T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.85
15,2019-12-09T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.01
16,2019-12-10T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.01
17,2019-12-11T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.23
18,2019-12-12T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.14
19,2019-12-13T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.05
20,2019-12-14T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.07
21,2019-12-15T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.03
22,2019-12-18T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.3
23,2019-12-19T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.31
24,2019-12-20T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.01
25,2019-12-22T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.32
26,2019-12-23T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.33
27,2019-12-26T00:00:00,DAPR,GHCND:US1CASF0017,",,N,",3.0
28,2019-12-26T00:00:00,MDPR,GHCND:US1CASF0017,",,N,",0.41
29,2019-12-30T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.47
30,2020-01-01T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.01
31,2020-01-04T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.01
32,2020-01-08T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.02
33,2020-01-09T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.26
